词牌名,韵律
十六字令,平。中仄平平仄仄平。平平仄，中仄仄平平。
南歌子,『仄仄平平仄，平平仄仄平』。中平中仄仄平平，中仄中平中仄仄平平。
渔歌子,中仄平平仄仄平，中平平仄仄平平。『平仄仄，仄平平』，平平仄仄仄平平。
忆江南,平中仄，中仄ˇ仄平平。『中仄中平平仄仄，中平中仄仄平平』。中仄仄平平。
潇湘神,〖平仄平，平仄平〗。仄平中仄仄平平。中仄仄平平仄仄，平平平仄仄平平。
捣练子,平仄仄，仄平平。仄仄平平仄仄平。中仄仄平平仄仄，仄平平仄仄平平。
浪淘沙,中仄平平中仄平，中平中仄仄平平。中平中仄中平仄，中仄平平仄仄平。
江南春,平仄仄，仄平平。平平平仄仄，平仄仄平平。平平平仄平平仄，平仄平平平仄平。
忆王孙,中平中仄仄平平，中仄平平中仄平。中仄平平仄仄平。仄平平，中仄平平中仄平。
江城子,中平中仄仄平平。仄平平，仄平平。中平中仄，中仄仄平平。中仄中平平仄仄，平仄仄，仄平平。
长相思,中中平，〖中中平〗。中仄平平中仄平，中平中仄平。中中平，〖中中平〗。中仄平平中仄平，中平中仄平。
醉太平,平平仄平，平平仄平，中平中仄平平，仄平平仄平。平平仄平，平平仄平，中平中仄平平，仄平平仄平。
玉蝴蝶,平平平仄平平，平仄仄平平。仄仄仄平平，平平仄仄平。平平平仄仄，平仄仄平平。平仄仄平平，仄平平仄平。
浣溪沙,中仄中平中仄平，中平中仄仄平平，中平中仄仄平平。『中仄中平平仄仄，中平中仄仄平平』。中平中仄仄平平。
巫山一段云,中仄平平仄，平平中仄平。中平中仄仄平平，中仄仄平平。中仄平平仄，平平中仄平。中平中仄仄平平，中仄仄平平。
采桑子,中平中仄平平仄，中仄平平。中仄平平，中仄平平中仄平。中平中仄平平仄，中仄平平。中仄平平，中仄平平中仄平。
诉衷情,中平中仄仄平平，中仄仄平平。中平中仄平仄，中仄仄平平。平仄仄，仄平平，仄平平。中平平仄，中仄平平，中仄平平。
画堂春,中平中仄仄平平，中平中仄平平。中平中仄仄平平，中仄平平。中仄中平中仄，中平中仄平平。中平中仄仄平平，中仄平平。
阮郎归,中平平仄仄平平，平平中仄平。仄平平仄仄平平，中平中仄平。平仄仄，仄平平，中平中仄平。中平中仄仄平平，中平中仄平。
三字令,平仄仄，仄平平。仄平平。平仄仄，仄平平。仄平平，平仄仄，仄平平。平仄仄，仄平平。仄平平。平仄仄，仄平平。仄平平，平仄仄，仄平平。
朝中措,中平中仄仄平平，中仄仄平平。中仄中平中仄，中平中仄平平。中平中仄，中平中仄，中仄平平。中仄中平中仄，中平中仄平平。
眼儿媚,平仄平平仄平平，中仄仄平平。中平中仄，中平中仄，中仄平平。中平中仄平平仄，中仄仄平平。中平中仄，中平中仄，中仄平平。
人月圆,中平中仄平平仄，中仄仄平平。中平中仄，平平仄仄，中仄平平。中平中仄，中平中仄，中仄平平。中平中仄，平平仄仄，中仄平平。
柳梢青,中仄平平，中平中仄，仄仄平平。中仄平平，中平中仄，中仄平平。中平中仄平平，仄中仄、平平仄平。中仄平平，中平中仄，中仄平平。
太常引,中平中仄仄平平，中仄仄平平。中仄仄平平，仄中仄、平平去平。中平中仄，中平中仄，中仄仄平平。中仄仄平平，仄中仄、平平去平。
少年游,中平中仄仄平平，中仄仄平平。中平中仄，中平中仄，中仄仄平平。中平中仄平平仄，中仄仄平平。中仄平平，中平中仄，中仄仄平平。
临江仙,中仄中平平仄仄，中平中仄平平。中平中仄仄平平。中平中仄，中仄仄平平。中仄中平平仄仄，中平中仄平平。中平中仄仄平平。中平中仄，中仄仄平平。
鹧鸪天,中仄平平中仄平，中平中仄仄平平。『中平中仄平平仄，中仄平平中仄平』。『平仄仄，仄平平』。中平中仄仄平平。中平中仄平平仄，中仄平平中仄平。
小重山,中仄平平中仄平。中平平仄仄，仄平平。中平中仄仄平平。平中仄，中仄仄平平。中仄仄平平。中平平仄仄，仄平平。中平中仄仄平平。平中仄，中仄仄平平。
一剪梅,中仄平平中仄平。中仄平平，中仄平平。中平中仄仄平平，中仄平平，中仄平平。中仄平平中仄平。中仄平平，中仄平平。中平中仄仄平平，中仄平平，中仄平平。
唐多令,平仄仄平平，中平中仄平。仄中平、中仄平平。中仄中平平仄仄，中中仄，仄平平。平仄仄平平，中平中仄平。仄中平、中仄平平。中仄中平平仄仄，中中仄，仄平平。
破阵子,仄仄平平中仄，中平中仄平平。中仄中平平仄仄，中仄平平中仄平。中平中仄平。仄仄平平中仄，中平中仄平平。中仄中平平仄仄，中仄平平中仄平。中平中仄平。
喝火令,仄仄平平仄，平平仄仄平。仄平平仄仄平平。中仄仄平平仄，中仄仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄仄平平，仄仄仄平平。仄仄仄平平仄，中仄仄平平。
行香子,中仄平平，中仄平平。中平中、中仄平平。中平中仄，中仄平平。仄中平中，中平仄，中平平。中平中仄，中仄平平。中平中、中仄平平。中平中仄，中仄平平。仄中平ˇ中，中平ˇ仄，仄平ˇ平。
风入松,中平中仄仄平平，中仄仄平平。中平中仄平平仄，中平中、中仄平平。中仄平平平仄，中平中仄平平。中平中仄仄平平，中仄仄平平。中平中仄平平仄，中平中、中仄平平。中仄平平平仄，中平中仄平平。
金人捧露盘,『仄平平（增韵），平仄仄』，仄平平。仄仄仄、中仄平平。平平仄仄，仄中平平仄仄平平。仄平平仄，仄中平、中仄平平。平平仄，平平仄，平仄仄，仄平平。仄仄仄、中仄平平。平平仄仄，仄中平平仄仄平平。仄平平仄，仄中平、中仄平平。
八六子,仄平平，仄平平仄，平平仄仄平平。仄『仄仄平平仄仄，仄平平仄平平』，仄平仄平。平平平仄平平，仄仄仄平平仄，平平仄仄平平。仄仄仄、平平仄平平仄，『仄平平仄，仄平平仄』，平平『仄仄平平仄仄，平平平仄平平』。仄平平，平平去平去平。
雪梅香,仄平仄，平平仄仄仄平平。仄平平平仄，平平仄仄平平。中仄平平仄平仄，仄平平仄仄平平。仄平仄，仄仄平平，平仄平平。平平，仄平仄，仄仄平平，仄仄平平。仄仄平平，仄平仄仄平平。中仄平平仄平仄，仄平平仄仄平平。平平仄，仄仄平平，平仄平平。
满庭芳,中仄平平，中平中仄，仄中平仄平平。仄平平仄，平仄仄平平。中仄平平仄仄，中中仄、中仄平平。平平仄，中平中仄，中仄仄平平。平平，平仄仄，平平仄仄，中仄平平。仄平仄平平，中仄平平。中仄中平仄仄，中中仄、中仄平平。平平仄，中平中仄，中仄仄平平。
水调歌头,中仄仄平仄，中仄仄平平。中平中仄平中，中仄仄平平。中仄平平中仄，中仄平平中仄，中仄仄平平。中仄仄平仄，中仄仄平平。中中中，中中仄，仄平平。中平中仄，平中平仄仄平平。『中仄平平中仄，中仄平平中仄』，中仄仄平平。中仄中平仄，中仄仄平平。
凤凰台上忆吹箫,平仄平平，仄平平仄，仄平平仄平平。仄仄平平仄，仄仄平平。平仄平平仄仄，平仄仄、仄仄平平。平平仄，平平仄仄，仄仄平平。平平，仄平仄仄，平仄仄平平，仄仄平平。仄仄平平仄，平仄平平。平仄平平平仄，平仄仄、平仄平平。平平仄，平平仄平，仄仄平平。
汉宫春,中仄平平，仄中平中仄，中仄平平。中平中仄，仄中中仄平平。平平仄仄，仄平平、中仄平平。平仄仄、平平中仄，中平中仄平平。中仄中平平仄，仄平平仄仄，中仄平平。平平仄平仄仄，中仄平平。平平仄仄，仄平平、中仄平平。平仄仄、平平中仄，中平中仄平平。
八声甘州,仄中平仄仄仄平平，中中仄平平。仄平平中仄，中平中仄，中仄平平。中仄平平中仄，中仄仄平平。中仄平平仄，中仄平平。中仄中平中仄，仄中平中仄，中仄平平。仄平平中仄，中仄仄平平。仄平平、中平平仄，仄中平、中仄仄平平。平平仄、仄平平仄，中仄平平。
扬州慢,平仄平平，仄平平仄，仄平仄仄平平。仄平平仄仄，仄仄仄平平。仄平仄、平平仄仄，仄平平仄，平仄平平。仄平平、平仄平平，平仄平平。仄平仄仄，仄平平、平仄平平。仄仄仄平平，平平仄仄，平仄平平。仄仄仄平平仄，平平仄、仄仄平平。仄平平平仄，平平平仄平平。
高阳台,中仄平平，平平仄仄，中平中仄平平。中仄平平，中平中仄平平。中平中仄平平仄，仄中平、中仄平平。仄平平（增韵）、中仄平平，中仄平平。平平仄仄平平仄，仄平平中仄，中仄平平。中仄平平，中平中仄平平。中平中仄平平仄，仄中平、中仄平平。仄平平（增韵）、中仄平平，中仄平平。
锦堂春慢,平仄平平，平平仄仄，平平仄仄平平。仄仄平平，平仄仄仄平平。仄仄仄平平仄，仄仄平仄平平。仄仄平仄仄，仄仄平平，平仄平平。仄平平平平仄，仄平平仄仄，仄仄平平。平仄平平平仄，仄仄平平。仄仄平平仄仄，仄仄仄、平仄平平。仄仄平平仄仄，平仄平平，仄仄平平。
寿楼春,平平平平平。仄平平仄仄，平仄平平。仄仄平平平仄，仄平平平。平仄仄，平平平。仄仄平、平平平平。仄仄仄平平，平平仄仄，平仄仄平平。平平仄，平平平。仄平平仄仄，平仄平平。仄仄平平平仄，仄平平平。平仄仄，平平平。仄仄平、平平平平。仄平仄平平，平平仄仄平仄平。
忆旧游,仄平平仄仄，仄仄平平，平仄平平。仄仄平平仄，仄平平仄仄，仄仄平平。仄平仄仄平仄，平仄仄平平。仄仄仄平平，平平仄仄，仄仄平平。平平，仄平仄，仄仄仄平平，平仄平平。仄仄平平仄，仄平平平仄，平仄平平。仄平仄仄平仄，平仄仄平平。仄仄仄平平，平平仄仄平仄平。
夜飞鹊,平平仄平仄，平仄平平。平仄仄仄平平。平平仄仄仄平仄，中平平仄平平。平平仄平仄，仄平平平仄，仄仄平平。平平仄仄，仄平平、中仄平平。平仄仄平平仄，平仄仄平平，平仄平平。平仄平平平仄，平平仄仄，平仄平平。仄平仄仄，仄平平、仄仄平平。仄平平平仄，平平仄仄，中仄平平。
望海潮,平平平仄，平平中仄，平平仄仄平平。『平仄仄平，平平仄仄』，平平仄仄平平。平仄仄平平。仄平仄平仄，平仄平平。仄仄平平，仄平平仄仄平平。平平（增韵）仄仄平平。仄平平仄仄，中仄平平。『平仄仄平，平平仄仄』，平平仄仄平平。平仄仄平平。仄仄平中仄，平仄平平。中仄平平仄仄，平仄仄平平。
沁园春,中仄平平，仄仄平平，仄仄仄平。仄『中平中仄，中平中仄，中平中仄，中仄平平』。中仄平平，中平中仄，中仄平平中仄平。平平仄，仄中平中仄，中仄平平。平平（增韵）中仄平平，仄中仄平平中仄平。仄『中平中仄，中平中仄，中平中仄，中仄平平』。中仄平平，中平中仄，中仄平平中仄平。平平仄，仄中平中仄，中仄平平。
多丽,仄平平，中平中仄平平。仄平平、平平仄仄，中中中仄平平。仄平平、中平中仄，中中仄、中仄平平。中仄平平，平平仄仄，仄平平仄仄平平。仄中仄、中平平仄，中仄仄平平。平平仄、中平中仄，中仄平平。仄平平、平平仄仄，仄中平仄平平。仄平平、仄平仄仄，中中中、平仄平平。中仄平平，中平仄仄，中平平仄仄平平。仄中仄、中平中仄，平仄仄平平。平平仄、中平中仄，中仄平平。
六州歌头,平平中仄，中仄仄平平。平中仄，平平仄，仄平平。仄平平。中仄中平仄，中平仄，平中仄，中中仄，平中仄，仄平平。中仄中平，中仄平平仄，中仄平平。仄中平中仄，中仄仄平平。中仄平平，仄平平。仄平平仄，中平仄，平中仄，仄平平。中中仄，平中仄，仄平平。仄平平。中仄平平仄，中中仄，仄平平。平中仄，平中仄，仄平平。中仄中平中仄，中平仄、中仄平平。仄中平中仄，中仄仄平平。中仄平平。
如梦令,中仄中平平仄，中仄中平平仄。中仄仄平平，中仄仄平平仄。平仄，〖平仄〗，中仄仄平平仄。
归自谣,平仄仄，中仄中平平仄仄，中平中仄平平仄。平平中仄平中仄。平平仄，中平中仄平平仄。
天仙子,中仄中平平仄仄，仄平平仄平平仄。平平中仄仄平平，平仄仄，仄平仄，仄仄中平平仄仄。
生查子,中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。
醉花间,平平仄，仄平〖仄〗，平仄平平仄。平仄仄平平，仄仄平平仄。平平平仄仄，仄仄平平仄。平平仄仄平，平仄平平仄。
点绛唇,中仄平平，中平中仄（增韵）平平仄。仄平平仄，中仄平平仄。中仄平平，中仄平平仄。平中仄，仄平平仄，中仄平平仄。
霜天晓角,中平中仄，中仄平平仄。平仄仄平平仄，中中仄、平平仄。中平平仄仄，中平平仄仄。平仄仄平平仄，中中仄、平平仄。
伤春怨,仄仄平平仄。仄仄平平平仄。仄仄仄平平，仄仄平平平仄。仄平平平仄。仄仄平平仄。仄仄仄平平，仄仄仄、平平仄。
卜算子,中仄仄平平，中仄平平仄。中仄平平仄仄平，中仄平平仄。中仄仄平平，中仄平平仄。中仄平平仄仄平，中仄平平仄。
谒金门,平中仄，平仄仄平平仄。中仄中平平仄仄，仄平平仄仄。中仄中平中仄，中仄中平平仄。中仄中平平仄仄，仄平平仄仄。
好事近,中仄仄平平，中仄仄平平仄。中仄仄平平仄，仄中平平仄。中平中仄仄平平，中中仄平仄。中仄仄平平仄，仄中平平仄。
忆少年,平平中仄，平平仄仄，平平平仄。平平仄中仄，仄平平平仄。仄仄平平平仄仄，仄平平、仄平平仄。平平仄平仄，仄平平中仄。
忆秦娥,平中仄，中平中仄平平仄。〖平平仄〗，中平中仄，仄平平仄。中平中仄平平仄，中平中仄平平仄。〖平平仄〗，中平中仄，仄平平仄。
烛影摇红,仄仄平平，仄仄平，仄仄平、平平仄。平平平仄仄平平，平仄平平仄。平仄平平仄仄，仄平平、平平仄仄。仄平平仄，仄仄平平，平平平仄。
醉花阴,中仄中平平仄仄，中仄平平仄。中仄仄平平，中仄平平，中仄平平仄。中平中仄平平仄，仄仄平平仄。中仄仄平平，中仄平平，中仄平平仄。
望江东,平仄平平仄平仄，仄中仄、平平仄。中平中仄仄平仄，仄仄仄、平平仄。平平仄仄平平仄，仄中仄、平平仄。中平中仄仄平仄，仄中仄、平平仄。
木兰花,仄仄仄平平仄仄，平仄仄平平仄仄。平仄仄，仄平平，仄仄仄平平仄仄。仄仄仄平平仄仄，平仄仄平平仄仄。平平仄仄仄平平，平仄仄平平仄仄。
鹊桥仙,中平中仄（增韵），中平中仄（增韵），中仄中平中仄。中平中仄仄平平，仄中仄、平平中仄。中平中仄（增韵），中平中仄（增韵），中仄中平中仄。中平中仄仄平平，仄中仄、平平中仄。
夜游宫,仄仄平平仄仄，仄中仄、中平平仄。中仄平平仄中仄。仄平平，仄平平，平仄仄。仄仄平平仄，仄中仄、中平平仄。中仄平平仄中仄。仄平平，仄平平，平仄仄。
踏莎行,『中仄平平，中平中仄』，中平中仄平平仄。中平中仄仄平平，中平中仄平平仄。『中仄平平，中平中仄』，中平中仄平平仄。中平中仄仄平平，中平中仄平平仄。
钗头凤,平平仄，平平仄，仄平平仄平平仄。平平仄，平平仄，中平平仄，仄平平仄。仄，〖仄〗，〖仄〗。平平仄，平平仄，仄平平仄平平仄。平平仄，平平仄，中平平仄，仄平平仄。仄，〖仄〗，〖仄〗。
蝶恋花,中仄中平平仄仄。中仄平平，中仄平平仄。中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。中仄平平，中仄平平仄。中仄中平平仄仄，中平中仄平平仄。
渔家傲,中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。平中仄，中平中仄平平仄。中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。平中仄，中平中仄平平仄。
苏幕遮,仄平平，平仄仄。中仄平平，中仄平平仄。中仄平平平仄仄。中仄平平，中仄平平仄。仄平平，平仄仄。中仄平平，中仄平平仄。中仄平平平仄仄。中仄平平，中仄平平仄。
淡黄柳,平平仄仄，平仄平平仄。仄仄平平平仄仄。仄仄平平仄仄，平仄平平仄平仄。仄平仄，平平仄平仄。仄平仄，仄平仄。仄平平仄仄平平仄。仄仄平平，仄平平仄，平仄平平仄仄。
锦缠道,仄仄平平，仄仄仄平平仄。仄平平、仄平平仄。仄平平仄平平仄。仄仄平平，仄仄平平仄。仄平平仄平，仄平平仄。仄平平、仄平平仄。仄平平、平仄平平，仄仄平平仄，仄仄平平仄。
酷相思,仄仄平平平仄仄。仄中仄、平平仄。仄平仄平平平仄仄。中仄仄、平平仄。〖中仄仄、平平仄〗。仄仄平平平仄仄。仄中仄、平平仄。仄平仄平平平仄仄。中仄仄、平平仄。〖中仄仄、平平仄〗。
解佩令,平平中仄，平平中仄，仄平平、平平平仄。仄仄平平，仄仄中、中平平仄。仄平平、仄平仄仄。平平中仄，平平中仄，仄平平、平平平仄。仄仄平平，仄仄中、中平平仄。仄平平、仄平仄仄。
青玉案,中平中仄平平仄，仄中仄、平平仄。仄仄平平平仄仄。中平平仄，中平中仄，中仄平平仄。中平中仄平平仄，中仄平平仄平仄。仄仄平平平仄仄。中平平仄，中平中仄，中仄平平仄。
千秋岁,仄平平仄，平仄平平仄。平仄仄，平平仄。平平平仄仄，平仄平平仄。平仄仄，仄平仄仄平平仄。仄仄平平仄，平仄平平仄。平仄仄，平平仄。仄平平仄仄，仄仄平平仄。平仄仄，仄平仄仄平平仄。
离亭燕,中仄中平平仄，平仄仄平平仄。中仄仄平平仄仄，仄仄中平平仄。仄仄仄平平，中仄中平平仄。中仄中平平仄，平仄仄平平仄。中仄仄平平仄仄，仄仄中平平仄。仄仄仄平平，中仄中平平仄。
粉蝶儿,仄仄平平仄平仄平仄仄，仄平平、仄平平仄。仄平平、仄仄仄、仄平平仄。仄平平、平仄仄平平仄。平平平仄平仄仄仄平仄。仄平平、仄平平仄。仄平平、平仄仄、仄平平仄。仄平平、平仄仄平平仄。
御街行,平平仄仄平平仄。仄仄仄、平平仄。平平平仄仄平平，平仄平平平仄。平平中仄，中平平仄，平仄平平仄。平平仄仄平平仄。仄仄仄、平平仄。平平平仄仄平平，平仄平平平仄。平平中仄，中平平仄，平仄ˇ平平仄。
祝英台近,仄平平，平仄仄，平仄仄平仄。中仄平平，中仄仄平仄。中平中仄平平，中平中仄，仄中仄、中平平仄。仄平仄，中中平仄平平，中平仄平仄。中仄平平，中中仄平仄。中平中仄平平，中平中仄，仄中仄、中平平仄。
蓦山溪,平平中仄，中仄平平仄。中仄仄平平，仄中中、平平中仄。仄平平仄，中仄仄平平，平仄仄。平仄仄，中仄平平仄。平平中仄，中仄平平仄。中仄仄平平，仄中中、平平中仄。仄平平仄，中仄仄平平，平仄仄，平仄仄。中仄平平仄。
洞仙歌,中平中仄，仄中平平仄。中仄平平仄平仄。仄平平、中仄平仄平平，平中仄、中仄平平中仄。中平平仄仄，中仄平平，中仄平平仄平仄。仄仄仄平平，仄仄平平，平中仄、中平中仄。仄中仄平平仄平平，仄仄仄平平，仄平平仄。
惜红衣,仄仄平平，平平仄仄，仄平平仄。仄仄平平，平平仄平仄。平平仄仄，平仄仄、平平平仄。平仄。平仄仄平，仄平平平仄。平平仄仄，平仄平平，平平仄平仄。平平仄仄仄仄，仄平仄。仄仄仄平平仄，仄仄仄平平仄。仄仄平平仄，平仄仄平平仄。
