词牌名,韵律
法曲献仙音,平仄平平，仄平平仄，仄仄平平平仄。仄仄平平，仄平平仄，平平仄仄平仄。仄仄仄平平仄，平平仄平仄。仄平仄，仄平平、仄平平仄。平仄仄、平仄仄平平仄。仄仄仄平平，仄平平、平仄平仄。仄仄平平，仄平平、仄仄仄仄。仄平平平仄，仄仄平平平仄。
满江红,中仄平平，平中仄、中平中仄。平仄仄、仄平平仄，仄平中仄。中仄中平平仄仄，中平中仄平平仄。中中中、中仄仄平平，平平仄。中中仄，平仄仄。平仄仄，平平仄。仄平平中仄，仄平平仄。中仄中平平仄仄，中平中仄平平仄。中中中、中仄仄平平，平平仄。
天香,中仄平平，平平仄仄，仄仄平平平仄。仄仄平平，平平中仄，仄仄平平平仄。仄平平仄，平仄仄、仄平平仄。平仄平平仄仄，平平仄平平仄。平平仄平仄仄。仄平平、仄平平仄。平仄平平仄仄，仄平平仄。平仄平平仄仄。仄平仄、平平仄平仄。仄仄平平，平平仄仄。
声声慢,平平仄仄，仄仄平平，平平仄仄仄仄。仄仄平平平仄，仄平平仄。平平仄仄仄仄，仄仄平、仄平平仄。仄仄仄，仄平平、仄仄仄平平仄。仄仄平平平仄，平仄仄、平平仄平平仄。仄仄平平，仄仄仄平仄仄。平平仄平仄仄，仄平平、仄仄仄仄。仄仄仄，仄仄仄平仄仄仄。
黄莺儿,平平平仄平平仄。仄仄平平，平仄平平，平平平平，仄平平仄。平仄仄仄平平，仄仄平平仄。仄平平仄平平，仄仄平平平仄平仄。平仄，仄仄仄平平，仄仄平平仄。仄平平仄，仄仄平平，平平仄平平仄。平仄仄仄平平，仄仄平平仄。仄仄仄仄平平，平仄平平仄。
剑器近,仄平仄，仄仄仄、平平平仄。仄平仄平平仄，仄平仄。仄平仄，仄仄仄、平平仄仄。平平仄平平仄，仄平仄。平仄，仄平平仄仄。平平仄仄，仄仄仄、仄仄平平仄。平平平仄仄平平，仄平平仄平，仄平平仄平仄。仄平平仄，仄仄平平，仄仄平平仄仄。仄平仄仄平平仄。
醉蓬莱,仄平平仄仄，仄仄平平，仄平平仄。仄仄平平，仄平平平仄。仄仄平平，仄平平仄，仄仄平平仄。仄仄平平，平平仄仄，仄平平仄。仄仄平平，仄平平仄，仄仄平平，仄平平仄。平仄平平，仄仄平平仄。仄仄平平，仄仄平仄，仄仄平平仄。仄仄平平，平平平仄，仄平平仄。
暗香,仄平仄仄，仄仄平仄仄，平平平仄。仄仄仄平，仄仄平平仄平仄。平仄平平仄仄，平仄仄、平平平仄。仄仄仄、仄仄平平，平仄仄平仄。平仄，仄仄仄。仄仄仄仄平，仄仄平仄。仄平仄仄，平仄平平仄平仄。平仄平平仄仄，平仄仄、平平平仄。仄仄仄、平仄仄，仄平仄仄。
长亭怨慢,去平仄、平平平仄。仄仄平平，仄平平仄。『仄仄平平，仄平平仄』，去平仄。仄平平仄，平仄仄、平平仄。仄仄仄平平，仄仄仄、平平平仄。仄仄，去平平仄仄，仄仄仄平平仄。平平仄仄，仄仄仄、仄平平仄。仄仄仄、仄仄平平，去平仄、平平平仄。去仄仄平平，平仄平平平仄。
双双燕,仄平仄仄，仄平仄平平，仄平平仄。平平仄仄，仄仄仄平平仄。平仄平平仄仄，仄仄仄、平平仄仄。平平仄仄平平，仄仄平平平仄。平仄，平平仄仄。仄仄仄平平，仄平平仄。平平平仄，仄仄仄平平仄。平仄平平仄仄，仄仄仄、平平平仄。平仄仄仄平平，仄仄仄平仄仄。
宴山亭,中仄平平，平仄仄平，仄仄平平平仄。平仄仄平，仄仄平平，中仄仄平平仄。仄仄平平，仄平仄、中平平仄。平仄，仄仄仄平平，仄平平仄。平仄平仄平平，仄中仄平平，仄平平仄。平平仄仄，仄仄平平，平平仄平平仄。仄仄平平，中中仄、中平平仄。平仄，平仄仄、平平仄仄。
念奴娇,中平中仄，仄平中中仄，中平平仄。中仄中平平仄仄，中仄中平平仄。中仄平平，中平中仄，中仄平平仄。中平中仄，仄平平仄中仄。中仄中仄平平，中平中仄，中仄平平仄。中仄中平平仄仄，中仄中平平仄。中仄平平，中平中仄，中仄平平仄。中平平仄，仄平平仄平仄。
绕佛阁,仄平仄仄，平仄仄仄，平仄平仄。平仄平仄，仄平仄仄平平仄平仄。仄平仄仄，平仄仄仄，平仄平仄。平仄平仄。仄平仄仄平平仄平仄。仄仄仄平仄，仄仄平平平仄仄。平仄仄平平平平仄仄。仄仄仄平平，平仄平仄。仄平平仄。仄仄仄平平，平仄平仄。仄平平、仄平平仄。
绛都春,平平仄仄。仄仄仄仄平，平平平仄。仄仄仄平，平仄平平平平仄。中平中仄平平仄，仄中仄、平平平仄。仄平中仄，平平仄仄，仄平平仄。平仄，平平仄仄，仄平仄、仄仄平平平仄。仄仄仄平，中仄平平平平仄，中平平仄平平仄。仄中仄、中平中仄。仄平中仄平平，仄平仄仄。
桂枝香,平平仄仄，仄仄仄中平，中中平仄。中仄平平中仄，仄平平仄。中平中仄平平仄，仄平平、中平平仄。仄平平仄，中平中仄，仄平平仄。仄中中、平平仄仄。仄中中平中，中中平仄。中仄平平中仄，仄平平仄。中平中仄平平仄，仄平平中仄平仄。仄平平仄，中平中仄，仄平平仄。
翠楼吟,仄仄平平，平平仄仄，平平仄仄平仄。平平平仄仄，仄平仄平平平仄。平平平仄。仄仄仄平平，平平平仄。平平仄，仄平平仄，仄平平仄。仄仄，平仄平平，仄仄平平仄，仄平平仄。仄平平仄仄，仄平仄平平平仄。平平平仄。仄仄仄平平，平平平仄。平平仄，仄平平仄，仄平平仄。
霓裳中序第一,平平仄仄仄。仄仄平平平仄仄。平仄仄平仄仄。仄平仄仄平，平平平仄。平平仄仄，仄仄平平仄平仄。平平仄，仄平仄仄，仄仄仄平仄。平仄，仄平平仄。仄仄仄平平仄仄。平平平仄仄仄，仄仄平平，仄仄平仄。仄平平仄仄，仄仄仄平平仄仄。平平仄，平平平仄，仄仄仄平仄。
水龙吟,仄平中仄平平，中平中仄平平仄。中平仄仄，中平中仄，中平中仄。中仄平平，中平中仄，中平平仄。仄中平中仄，中平中仄，中平仄，平平仄。中仄中平中仄（增韵），仄平平、中平平仄。中平中仄，中平平仄，中平平仄。中仄平平，中平中仄，中平平仄。仄平平仄仄，中平中仄，仄平平仄。
石州慢,中仄平平，平仄仄平，平仄平仄。平平中仄平平，仄仄中平平仄。中平中仄，仄中中仄平平，中平中仄平平仄。中仄仄平平，仄平平平仄。平仄，中平平仄，中仄平平，仄平平仄。中仄平平，仄仄平平平仄。中平中仄，仄中中仄平平，中平中仄平平仄。中仄仄平平，仄平平平仄。
瑞鹤仙,仄平平仄仄，平仄仄、仄仄平平仄仄。平平仄平仄，仄平平平仄，平平平仄。平平仄仄，仄仄平、平仄仄仄。仄平平仄仄，平仄仄平，仄仄平仄。仄仄平平仄仄，仄仄平平，仄平平仄。平平仄仄，平平仄，仄平仄。仄平平仄仄，平平平仄，平平平仄仄仄。仄平平仄仄，平仄仄平仄仄。
宴清都,仄仄平平仄。平平仄、仄平平仄平仄。平平平仄，平平仄仄，仄平平仄。平平仄仄平平，仄仄仄、平平仄仄。仄仄仄、仄仄平平，平平仄仄平仄。平平仄仄平平，平平仄仄，平仄平仄。平平仄仄，平平仄仄，仄平平仄。平平仄平平仄，仄仄仄、平平仄仄。仄仄平、仄仄平平，平平仄仄。
齐天乐,仄平平仄平平仄（增韵），平平仄平平仄。仄仄平平，平平仄仄，平仄平平平仄。平平仄仄。仄平仄平平，仄平平仄。仄仄平平，仄平中仄仄平仄。平平仄平仄仄（增韵），仄平平仄仄，平仄平仄。仄仄平平，平平仄仄，中仄平平中仄。平平仄仄。仄中仄平平，仄平平仄。仄仄平平，仄平平仄仄。
雨霖铃,平平平仄。仄平平仄，仄仄平仄。平平仄仄平仄，平平仄仄，平平平仄。仄仄平平仄仄，仄平仄平仄。仄仄仄、平仄平平，仄仄平平仄平仄。平平仄仄平平仄，仄平平、仄仄平平仄。平平仄仄平仄，平仄仄、仄平平仄。仄仄平平，平仄、平平仄仄平仄。仄仄仄、平仄平平，仄仄平平仄。
眉妩,仄平平平仄，仄仄平平，平仄仄平仄。仄仄平平仄，平平仄，平平平仄平仄。仄平仄仄，仄仄平、平仄平仄。仄平仄、仄仄平平仄，仄平仄平仄。平仄平平平仄。仄仄平中仄，平仄平仄。中仄平平仄，平平仄、平平平仄平仄。仄平仄仄，仄仄平、平仄平仄。仄平仄平平，平仄仄平仄仄。
永遇乐,平仄平平，中平平仄，平仄平仄。仄仄平平，平平仄仄，仄仄平平仄。中平中仄，平平仄仄，中仄仄平平仄。仄平平、平平中仄，仄平中中平仄。平平仄仄，平平平仄，中仄中平中仄。仄仄平平，中平平仄，平仄平平仄。仄平平仄，中平中仄，中仄中平中仄。中平仄、平平仄仄，仄平仄仄。
二郎神,平平仄，仄仄仄、平平平仄。仄仄仄平平平仄仄，平平仄、仄平平仄。平仄平平平仄仄，仄仄仄、平平仄仄。仄仄仄、平平仄仄，仄仄平平平仄。平仄，平平仄仄，仄平平仄。仄仄仄平平平仄仄，平仄仄、平平平仄。仄仄平平平仄仄，仄平仄、平平仄仄。仄平仄平平，仄仄平平，平平平仄。
拜星月慢,仄仄平平，平平平仄，仄仄平平仄仄。仄仄平平，仄平平平仄。仄平仄，仄仄、平平仄仄平仄，仄仄平平平仄。仄仄平平，仄平平平仄。仄平平、仄仄平平仄。平平仄、仄仄平平仄，仄仄仄仄平平，仄平平平仄。仄平平、仄仄平平仄，平平仄、仄仄平平仄。仄仄仄、仄仄平平，仄平平仄仄。
西河,平仄仄，平平仄仄平仄。平平仄仄仄平平，仄平仄仄。仄平仄仄仄平平，平平平仄平仄。仄平仄，平仄仄，仄平仄仄平仄。平平仄仄仄平平，仄平仄仄。仄平仄仄仄平平，平平平仄平仄。仄平仄仄仄仄仄。仄平平、平仄平仄。仄仄仄平平仄，仄平平仄仄平平平仄。平仄平平平平仄。
西吴曲,仄平平仄仄平仄，仄平平仄仄仄平仄。仄平平仄仄，平平平仄平仄。仄仄平平，平仄仄平平平仄。仄仄仄平仄平平，仄仄仄仄平平仄。仄平平仄，平仄仄平平，平平仄平仄仄。仄仄仄。仄平平仄平平，平平平仄，仄仄平平仄仄。平平平仄，仄仄仄仄平平，平仄仄平平，平仄仄平仄。
望远行,平平仄仄，平平仄、仄仄平平平仄。仄平平仄，仄仄平平，仄仄仄平平仄。仄仄平平，平仄仄平平仄，平仄仄平平仄。仄平平、平仄平平仄仄。平仄，平仄仄平仄仄，仄仄仄、仄平平仄。仄仄仄平，仄平仄仄，平仄仄平平仄。平仄平平平仄，平平平仄，仄仄平平平仄。仄仄平平仄，平平平仄。
疏影,平平仄仄。仄仄平仄仄，平仄平仄。仄仄平平，平仄平平，平平仄仄平仄。平平仄仄平平仄，仄仄仄、平平平仄。仄仄平、仄仄平平，仄仄仄平平仄。平仄平平仄仄，仄平仄仄仄，平仄平仄。仄仄平平，仄仄平平，仄仄平平平仄。平平仄仄平平仄，仄仄仄、仄平平仄。仄仄平、平仄平平，仄仄仄平平仄。
摸鱼儿,仄平平、仄平平仄，平平平仄平仄。中平平仄平平仄，平仄仄平平仄。平仄仄，仄中仄、中平中仄平平仄。中平中仄。仄仄仄平平，中平中仄，中仄仄平仄。平平仄，中仄平平仄仄，平平平仄平仄。中平中仄平平仄，中仄中平平仄。平仄仄，仄中仄、中平中仄平平仄。中平中仄。仄仄仄平平，中平中仄，中仄仄平仄。
贺新郎,中仄平平仄。仄平平、中平中仄，仄平平仄。中仄中平平中仄，中仄平平中仄。中仄仄、平平中仄。中仄中平平中仄，仄中平中仄平平仄。中仄仄，仄平仄。中平中仄平平仄。仄平平、中平中仄，仄平平仄。中仄中平平中仄，中仄平平中仄。中仄仄、平平中仄。中仄中平平中仄，仄中平中仄平平仄。中仄仄，仄平仄。
兰陵王,仄平仄，平仄平平仄仄。平平仄，平仄仄平，仄仄平平仄平仄。平平仄仄仄。平仄，平平仄仄。平平仄，平仄仄平，平仄平平仄平仄。平平仄平仄。仄仄仄平平，平仄平仄。平平平仄平平仄。平仄仄平仄，仄平平仄，平平平仄仄仄仄，仄平仄平仄。平仄，仄平仄。仄仄仄平平，平仄平仄。平平仄仄平平仄。仄仄仄平仄，仄平平仄。平平平仄，仄仄仄，仄仄仄。
六丑,仄平平仄仄，仄仄仄、平平平仄。仄平仄平，平平平仄仄。仄仄平仄。仄仄平平仄，仄平平仄，去仄平平仄。平平仄仄平平仄。仄仄平平，平平仄仄。平平仄平平仄。仄平平仄仄，平仄平仄。平平平仄。去平平仄仄。仄仄平平仄，平仄仄。平平仄仄平仄。仄平平仄仄，仄平平仄。平平仄、仄平平仄。平仄仄、仄仄平平仄仄，仄平平仄。平平仄、仄仄平仄。仄仄平、仄仄平平仄，平平仄仄。
夜半乐,仄平仄仄平仄，平平仄仄，平仄平平仄。仄仄仄平平，仄平平仄。仄平仄仄，平平仄仄，仄平平仄平平，仄平平仄。仄仄仄、平平仄平仄。仄平仄仄仄仄，仄仄平平，仄平平仄。平仄仄、平平平平平仄。仄平平仄，平平仄仄，仄平仄仄平平，仄平平仄。仄平仄、平平仄平仄。仄仄平仄，仄仄平平，仄平平仄。仄仄仄平平仄平仄。仄平平、平仄仄仄平平仄。平仄仄、仄仄平平仄。仄平平仄平平仄。
宝鼎现,仄平平仄，仄仄平仄，平平平仄。平仄仄、平平平仄，平仄平平平仄仄。仄仄仄、仄平平平仄，平仄平平仄仄。仄仄仄、平平仄仄，仄仄平平平仄。仄仄平仄平平仄。仄平平、平仄平仄。平仄仄、平平仄仄，平仄平平平仄仄。仄仄仄、仄平平平仄，平仄平平仄仄。仄仄仄、平平仄仄，仄仄平平仄仄。平仄仄仄平平，平仄仄平平平仄。仄平平平仄，平仄平平仄仄。仄仄仄、仄平平仄。仄仄平平仄。仄仄仄、平仄平平，仄仄平平仄仄。
莺啼序,平平仄平仄仄，仄平平仄仄。仄平仄、平仄平平，仄仄平仄平仄。仄平仄、平平仄仄，平平仄仄平平仄。仄平平，平仄平平，仄平平仄。仄仄平平，仄仄仄仄，仄平平仄仄。仄平仄、平仄平平，仄平平仄平仄。仄平平、平平仄仄，仄平仄、平平平仄。仄平平，平仄平平，仄平平仄。平平仄仄，仄仄平平，仄平仄仄仄。仄仄仄、仄平平仄，仄仄平平，仄仄平平，仄平平仄。平平仄仄，平平平仄，平平平仄平平仄，仄平平、仄仄平平仄。平平仄仄，平平仄仄平平，仄平仄仄平仄。平平仄仄，仄仄平平，仄仄平仄仄。仄仄仄、平平平仄，仄仄平平，仄仄平平，仄平平仄。平平仄仄，平平平仄，平平平仄平仄仄，仄平平、平仄平平仄。平平平仄平平，仄仄平平，仄平仄仄。
南乡子,仄仄平平，中平中仄仄平平。仄仄平平平仄仄，平仄，仄仄平平平仄仄。
蕃女怨,仄平平仄平仄仄，仄仄平仄。仄平平，平仄仄，仄平平仄。仄平平仄仄平平，仄平平。
调笑令,平仄，〖平仄〗，仄仄平平仄仄。平平仄仄平平，平平仄仄仄平。平仄，〖平仄〗，平仄平平仄仄。
昭君怨,中仄中平中仄，中仄中平中仄。中仄仄平平，仄平平。中仄中平中仄，中仄中平中仄。中仄仄平平，仄平平。
菩萨蛮,中平中仄平平仄，中平中仄平平仄。中仄仄平平，中平平仄平。中平平仄仄，中仄平平仄。中仄仄平平，中平平仄平。
更漏子,仄平平，平仄仄。中仄中平中仄。中仄仄，仄平平，中平中仄平。平中仄，中平仄，中仄中平中仄。中中仄，仄平平，中平中仄平。
喜迁莺,中仄仄，仄平平，平仄仄平平。仄平平仄仄平平，平仄仄平平。平中仄，平中仄，仄仄仄平平仄。中平平仄仄平平，平仄仄平平。
清平乐,中平中仄，中仄平平仄。中仄中平平仄仄，中仄中平中仄。中平中仄平平，中平中仄平平。中仄中平中仄，中平中仄平平。
忆馀杭,平仄平平，中仄平平平仄仄，平平仄仄仄平平，中仄仄平平。仄平平仄平平仄，仄仄仄平仄平仄。仄平平仄仄平平，仄仄仄平平。
河渎神,平仄仄平平，平仄平平仄平。仄平仄仄仄平平，仄平平仄平平。仄仄平平平仄仄，平仄平平平仄。仄仄仄平平仄，仄平平仄平仄。
河传,平仄，平仄。仄平平仄，平仄平平。仄平平仄，平仄仄仄平平，仄平平仄平。平平仄仄平平仄，平仄仄，仄仄平平仄。仄平平仄，平仄仄仄平平，仄平平。
虞美人,中平中仄平平仄，中仄平平仄。中平中仄仄平平，中仄中平平仄仄平平。中平中仄平平仄，中仄平平仄。中平中仄仄平平，中仄中平平仄仄平平。
西江月,『中仄中平平仄，中平中仄平平』。中平中仄仄平平，中仄平平中仄。中仄中平平仄，中平中仄平平。中平中仄仄平平，中仄平平中仄。
醉翁操,平平，平平，平平。仄平平，平平，平平仄平平平平。仄平平仄平平，平仄平。仄仄仄平平，仄仄平仄平仄平。仄平仄仄，平仄平平。仄平仄仄，平仄平平仄仄。平仄平平平平，仄仄平平平平，平平平仄平。平平平平平，仄仄仄平平，仄平平仄仄平平。
渡江云,中平平仄仄，仄平仄仄，中仄仄平平。仄平平仄仄，仄仄平平，仄仄仄平平。平平仄仄，仄中中、中仄平平。平仄中、中平平仄，中仄仄平平。平平，平平中仄，仄仄平平，仄平平中仄。平仄中、平平中仄，中仄平平。平平仄仄平平仄，仄仄中、平仄平平。平仄仄，平平仄仄平平。
曲玉管,仄仄平平，平平仄仄，平平仄仄平平仄。仄仄平平平仄，平仄平平，仄平平。仄仄平平，平平平仄，仄平仄仄平平仄。仄仄平平，仄仄平仄平平，仄平平。仄仄平平，仄平仄、平平平仄，仄平仄仄平平，平平仄仄平平。仄平平。仄平平平仄，仄仄平平平仄，仄平平仄，仄仄平平，仄仄平平。
哨遍,仄仄仄平，平仄仄平，仄仄平平仄。平仄平，平仄仄平平。仄平平平平平仄。仄仄平，平平仄平平仄，平平仄仄平平仄。平仄仄平平，平平仄仄，平平平仄平仄。仄仄平平仄仄平平。仄仄仄平平仄平平。平仄平平，仄仄平平，仄平仄仄。平，平仄平平，仄平平仄平平仄。平仄平仄仄，平平平仄平仄。仄仄仄平平，仄平仄仄，平平仄仄平平仄。平仄仄平平，平平仄仄，平平平仄平仄。仄仄平仄仄仄仄平。仄仄仄平平仄平平。仄平平、仄平平仄。平平平仄平仄，仄仄平平仄。仄平平仄平平仄仄，仄仄平平仄仄。仄平平仄仄平平。仄平平、仄仄平仄。
戚氏,仄平平，仄仄平仄仄平平。仄仄平平，仄平平仄，仄平平。平平，仄平平。平平仄仄仄平平。平平仄仄平仄，仄仄平仄仄平平。仄仄平仄，平平平仄，仄平仄仄平平。仄平平仄仄，平仄平仄，平仄平平。平仄，仄仄平平。平仄仄仄，仄仄仄平平。平平仄，仄平平仄，仄仄平平。仄平平。仄仄仄仄，平平仄仄，仄仄平平。仄平仄仄，仄仄平平，仄仄平仄平平。仄仄平平仄，平平仄仄，仄仄平平。仄仄平平仄仄，仄平平仄仄仄平平。仄平仄仄平平，仄平仄仄，平仄平平仄。仄仄平、平仄平平仄。平仄仄、平仄平平。仄仄平、仄仄平平。仄平仄仄仄仄平平。仄平平仄，平平仄仄，仄仄平平。
荷叶杯,中仄中平平仄，平仄，仄平平。仄平平仄仄平仄，平仄，仄平平。
定西番,中仄中平中仄，平仄仄，仄平平，仄平平。中仄中平平仄，中平中仄平。中仄中平中仄，仄平平。
相见欢,中平中仄平平，仄平平。中仄中平平仄仄平平。中中仄，中平仄，仄平平。中仄中平平仄仄平平。
上行杯,仄仄平平平仄，平仄仄、仄仄平平。平仄平平平仄仄，平平仄仄。仄平平，平仄仄，仄仄，平仄，平仄平平。
酒泉子,平仄仄平，平仄仄平平仄。仄平平，平仄仄，仄平平。仄平平仄仄平平，平仄仄平平仄。仄平平，平仄仄。仄平平。
定风波,中仄平平仄仄平，中平中仄仄平平。中仄中平平仄仄，平仄，中平中仄仄平平。中仄中平平仄仄，平仄，中平中仄仄平平。中仄中平平仄仄，平仄，中平中仄仄平平。
最高楼,平平仄，平仄仄平平，中仄仄平平。中平中仄平平仄，中平中仄仄平平。仄平平，平仄仄，仄平平。仄仄仄、仄平平仄仄，仄仄仄、仄平平仄仄。平仄仄，仄平平。中平中仄平平仄，中平中仄仄平平。仄平平，平仄仄，仄平平。
