词牌名,韵律,中,平,仄,总数,分段字数
瑞鹤仙,仄平平仄仄，平仄仄、仄仄平平仄仄。平平仄平仄，仄平平平仄，平平平仄。平平仄仄，仄仄平、平仄仄仄。仄平平仄仄，平仄仄平，仄仄平仄。仄仄平平仄仄，仄仄平平，仄平平仄。平平仄仄，平平仄，仄平仄。仄平平仄仄，平平平仄，平平平仄仄仄。仄平平仄仄，平仄仄平仄仄。,0,46,56,102,"[5, 3, 6, 5, 5, 4, 4, 3, 4, 5, 4, 4, 6, 4, 4, 4, 3, 3, 5, 4, 6, 5, 6]"
宴清都,仄仄平平仄。平平仄、仄平平仄平仄。平平平仄，平平仄仄，仄平平仄。平平仄仄平平，仄仄仄、平平仄仄。仄仄仄、仄仄平平，平平仄仄平仄。平平仄仄平平，平平仄仄，平仄平仄。平平仄仄，平平仄仄，仄平平仄。平平仄平平仄，仄仄仄、平平仄仄。仄仄平、仄仄平平，平平仄仄。,0,50,52,102,"[5, 3, 6, 4, 4, 4, 6, 3, 4, 3, 4, 6, 6, 4, 4, 4, 4, 4, 6, 3, 4, 3, 4, 4]"
齐天乐,仄平平仄平平仄（增韵），平平仄平平仄。仄仄平平，平平仄仄，平仄平平平仄。平平仄仄。仄平仄平平，仄平平仄。仄仄平平，仄平中仄仄平仄。平平仄平仄仄（增韵），仄平平仄仄，平仄平仄。仄仄平平，平平仄仄，中仄平平中仄。平平仄仄。仄中仄平平，仄平平仄。仄仄平平，仄平平仄仄。,4,50,48,102,"[7, 6, 4, 4, 6, 4, 5, 4, 4, 7, 6, 5, 4, 4, 4, 6, 4, 5, 4, 4, 5]"
雨霖铃,平平平仄。仄平平仄，仄仄平仄。平平仄仄平仄，平平仄仄，平平平仄。仄仄平平仄仄，仄平仄平仄。仄仄仄、平仄平平，仄仄平平仄平仄。平平仄仄平平仄，仄平平、仄仄平平仄。平平仄仄平仄，平仄仄、仄平平仄。仄仄平平，平仄、平平仄仄平仄。仄仄仄、平仄平平，仄仄平平仄。,0,49,54,103,"[4, 4, 4, 6, 4, 4, 6, 5, 3, 4, 7, 7, 3, 5, 6, 3, 4, 4, 2, 6, 3, 4, 5]"
眉妩,仄平平平仄，仄仄平平，平仄仄平仄。仄仄平平仄，平平仄，平平平仄平仄。仄平仄仄，仄仄平、平仄平仄。仄平仄、仄仄平平仄，仄平仄平仄。平仄平平平仄。仄仄平中仄，平仄平仄。中仄平平仄，平平仄、平平平仄平仄。仄平仄仄，仄仄平、平仄平仄。仄平仄平平，平仄仄平仄仄。,2,48,53,103,"[5, 4, 5, 5, 3, 6, 4, 3, 4, 3, 5, 5, 6, 5, 4, 5, 3, 6, 4, 3, 4, 5, 6]"
永遇乐,平仄平平，中平平仄，平仄平仄。仄仄平平，平平仄仄，仄仄平平仄。中平中仄，平平仄仄，中仄仄平平仄。仄平平、平平中仄，仄平中中平仄。平平仄仄，平平平仄，中仄中平中仄。仄仄平平，中平平仄，平仄平平仄。仄平平仄，中平中仄，中仄中平中仄。中平仄、平平仄仄，仄平仄仄。,17,45,42,104,"[4, 4, 4, 4, 4, 5, 4, 4, 6, 3, 4, 6, 4, 4, 6, 4, 4, 5, 4, 4, 6, 3, 4, 4]"
二郎神,平平仄，仄仄仄、平平平仄。仄仄仄平平平仄仄，平平仄、仄平平仄。平仄平平平仄仄，仄仄仄、平平仄仄。仄仄仄、平平仄仄，仄仄平平平仄。平仄，平平仄仄，仄平平仄。仄仄仄平平平仄仄，平仄仄、平平平仄。仄仄平平平仄仄，仄平仄、平平仄仄。仄平仄平平，仄仄平平，平平平仄。,0,49,55,104,"[3, 3, 4, 8, 3, 4, 7, 3, 4, 3, 4, 6, 2, 4, 4, 8, 3, 4, 7, 3, 4, 5, 4, 4]"
拜星月慢,仄仄平平，平平平仄，仄仄平平仄仄。仄仄平平，仄平平平仄。仄平仄，仄仄、平平仄仄平仄，仄仄平平平仄。仄仄平平，仄平平平仄。仄平平、仄仄平平仄。平平仄、仄仄平平仄，仄仄仄仄平平，仄平平平仄。仄平平、仄仄平平仄，平平仄、仄仄平平仄。仄仄仄、仄仄平平，仄平平仄仄。,0,49,55,104,"[4, 4, 6, 4, 5, 3, 2, 6, 6, 4, 5, 3, 5, 3, 5, 6, 5, 3, 5, 3, 5, 3, 4, 5]"
西河,平仄仄，平平仄仄平仄。平平仄仄仄平平，仄平仄仄。仄平仄仄仄平平，平平平仄平仄。仄平仄，平仄仄，仄平仄仄平仄。平平仄仄仄平平，仄平仄仄。仄平仄仄仄平平，平平平仄平仄。仄平仄仄仄仄仄。仄平平、平仄平仄。仄仄仄平平仄，仄平平仄仄平平平仄。平仄平平平平仄。,0,49,56,105,"[3, 6, 7, 4, 7, 6, 3, 3, 6, 7, 4, 7, 6, 7, 3, 4, 6, 9, 7]"
西吴曲,仄平平仄仄平仄，仄平平仄仄仄平仄。仄平平仄仄，平平平仄平仄。仄仄平平，平仄仄平平平仄。仄仄仄平仄平平，仄仄仄仄平平仄。仄平平仄，平仄仄平平，平平仄平仄仄。仄仄仄。仄平平仄平平，平平平仄，仄仄平平仄仄。平平平仄，仄仄仄仄平平，平仄仄平平，平仄仄平仄。,0,50,55,105,"[7, 8, 5, 6, 4, 7, 7, 7, 4, 5, 6, 3, 6, 4, 6, 4, 6, 5, 5]"
望远行,平平仄仄，平平仄、仄仄平平平仄。仄平平仄，仄仄平平，仄仄仄平平仄。仄仄平平，平仄仄平平仄，平仄仄平平仄。仄平平、平仄平平仄仄。平仄，平仄仄平仄仄，仄仄仄、仄平平仄。仄仄仄平，仄平仄仄，平仄仄平平仄。平仄平平平仄，平平平仄，仄仄平平平仄。仄仄平平仄，平平平仄。,0,51,55,106,"[4, 3, 6, 4, 4, 6, 4, 6, 6, 3, 6, 2, 6, 3, 4, 4, 4, 6, 6, 4, 6, 5, 4]"
疏影,平平仄仄。仄仄平仄仄，平仄平仄。仄仄平平，平仄平平，平平仄仄平仄。平平仄仄平平仄，仄仄仄、平平平仄。仄仄平、仄仄平平，仄仄仄平平仄。平仄平平仄仄，仄平仄仄仄，平仄平仄。仄仄平平，仄仄平平，仄仄平平平仄。平平仄仄平平仄，仄仄仄、仄平平仄。仄仄平、平仄平平，仄仄仄平平仄。,0,50,60,110,"[4, 5, 4, 4, 4, 6, 7, 3, 4, 3, 4, 6, 6, 5, 4, 4, 4, 6, 7, 3, 4, 3, 4, 6]"
摸鱼儿,仄平平、仄平平仄，平平平仄平仄。中平平仄平平仄，平仄仄平平仄。平仄仄，仄中仄、中平中仄平平仄。中平中仄。仄仄仄平平，中平中仄，中仄仄平仄。平平仄，中仄平平仄仄，平平平仄平仄。中平中仄平平仄，中仄中平平仄。平仄仄，仄中仄、中平中仄平平仄。中平中仄。仄仄仄平平，中平中仄，中仄仄平仄。,22,46,48,116,"[3, 4, 6, 7, 6, 3, 3, 7, 4, 5, 4, 5, 3, 6, 6, 7, 6, 3, 3, 7, 4, 5, 4, 5]"
贺新郎,中仄平平仄。仄平平、中平中仄，仄平平仄。中仄中平平中仄，中仄平平中仄。中仄仄、平平中仄。中仄中平平中仄，仄中平中仄平平仄。中仄仄，仄平仄。中平中仄平平仄。仄平平、中平中仄，仄平平仄。中仄中平平中仄，中仄平平中仄。中仄仄、平平中仄。中仄中平平中仄，仄中平中仄平平仄。中仄仄，仄平仄。,33,39,44,116,"[5, 3, 4, 4, 7, 6, 3, 4, 7, 8, 3, 3, 7, 3, 4, 4, 7, 6, 3, 4, 7, 8, 3, 3]"
兰陵王,仄平仄，平仄平平仄仄。平平仄，平仄仄平，仄仄平平仄平仄。平平仄仄仄。平仄，平平仄仄。平平仄，平仄仄平，平仄平平仄平仄。平平仄平仄。仄仄仄平平，平仄平仄。平平平仄平平仄。平仄仄平仄，仄平平仄，平平平仄仄仄仄，仄平仄平仄。平仄，仄平仄。仄仄仄平平，平仄平仄。平平仄仄平平仄。仄仄仄平仄，仄平平仄。平平平仄，仄仄仄，仄仄仄。,0,61,69,130,"[3, 6, 3, 4, 7, 5, 2, 4, 3, 4, 7, 5, 5, 4, 7, 5, 4, 7, 5, 2, 3, 5, 4, 7, 5, 4, 4, 3, 3]"
六丑,仄平平仄仄，仄仄仄、平平平仄。仄平仄平，平平平仄仄。仄仄平仄。仄仄平平仄，仄平平仄，去仄平平仄。平平仄仄平平仄。仄仄平平，平平仄仄。平平仄平平仄。仄平平仄仄，平仄平仄。平平平仄。去平平仄仄。仄仄平平仄，平仄仄。平平仄仄平仄。仄平平仄仄，仄平平仄。平平仄、仄平平仄。平仄仄、仄仄平平仄仄，仄平平仄。平平仄、仄仄平仄。仄仄平、仄仄平平仄，平平仄仄。,0,65,73,138,"[5, 3, 4, 4, 5, 4, 5, 4, 5, 7, 4, 4, 6, 5, 4, 4, 5, 5, 3, 6, 5, 4, 3, 4, 3, 6, 4, 3, 4, 3, 5, 4]"
夜半乐,仄平仄仄平仄，平平仄仄，平仄平平仄。仄仄仄平平，仄平平仄。仄平仄仄，平平仄仄，仄平平仄平平，仄平平仄。仄仄仄、平平仄平仄。仄平仄仄仄仄，仄仄平平，仄平平仄。平仄仄、平平平平平仄。仄平平仄，平平仄仄，仄平仄仄平平，仄平平仄。仄平仄、平平仄平仄。仄仄平仄，仄仄平平，仄平平仄。仄仄仄平平仄平仄。仄平平、平仄仄仄平平仄。平仄仄、仄仄平平仄。仄平平仄平平仄。,0,67,77,144,"[6, 4, 5, 5, 4, 4, 4, 6, 4, 3, 5, 6, 4, 4, 3, 6, 4, 4, 6, 4, 3, 5, 4, 4, 4, 8, 3, 7, 3, 5, 7]"
宝鼎现,仄平平仄，仄仄平仄，平平平仄。平仄仄、平平平仄，平仄平平平仄仄。仄仄仄、仄平平平仄，平仄平平仄仄。仄仄仄、平平仄仄，仄仄平平平仄。仄仄平仄平平仄。仄平平、平仄平仄。平仄仄、平平仄仄，平仄平平平仄仄。仄仄仄、仄平平平仄，平仄平平仄仄。仄仄仄、平平仄仄，仄仄平平仄仄。平仄仄仄平平，平仄仄平平平仄。仄平平平仄，平仄平平仄仄。仄仄仄、仄平平仄。仄仄平平仄。仄仄仄、平仄平平，仄仄平平仄仄。,0,71,86,157,"[4, 4, 4, 3, 4, 7, 3, 5, 6, 3, 4, 6, 7, 3, 4, 3, 4, 7, 3, 5, 6, 3, 4, 6, 6, 7, 5, 6, 3, 4, 5, 3, 4, 6]"
莺啼序,平平仄平仄仄，仄平平仄仄。仄平仄、平仄平平，仄仄平仄平仄。仄平仄、平平仄仄，平平仄仄平平仄。仄平平，平仄平平，仄平平仄。仄仄平平，仄仄仄仄，仄平平仄仄。仄平仄、平仄平平，仄平平仄平仄。仄平平、平平仄仄，仄平仄、平平平仄。仄平平，平仄平平，仄平平仄。平平仄仄，仄仄平平，仄平仄仄仄。仄仄仄、仄平平仄，仄仄平平，仄仄平平，仄平平仄。平平仄仄，平平平仄，平平平仄平平仄，仄平平、仄仄平平仄。平平仄仄，平平仄仄平平，仄平仄仄平仄。平平仄仄，仄仄平平，仄仄平仄仄。仄仄仄、平平平仄，仄仄平平，仄仄平平，仄平平仄。平平仄仄，平平平仄，平平平仄平仄仄，仄平平、平仄平平仄。平平平仄平平，仄仄平平，仄平仄仄。,0,122,118,240,"[6, 5, 3, 4, 6, 3, 4, 7, 3, 4, 4, 4, 4, 5, 3, 4, 6, 3, 4, 3, 4, 3, 4, 4, 4, 4, 5, 3, 4, 4, 4, 4, 4, 4, 7, 3, 5, 4, 6, 6, 4, 4, 5, 3, 4, 4, 4, 4, 4, 4, 7, 3, 5, 6, 4, 4]"
南乡子,仄仄平平，中平中仄仄平平。仄仄平平平仄仄，平仄，仄仄平平平仄仄。,2,12,13,27,"[4, 7, 7, 2, 7]"
蕃女怨,仄平平仄平仄仄，仄仄平仄。仄平平，平仄仄，仄平平仄。仄平平仄仄平平，仄平平。,0,15,16,31,"[7, 4, 3, 3, 4, 7, 3]"
调笑令,平仄，〖平仄〗，仄仄平平仄仄。平平仄仄平平，平平仄仄仄平。平仄，〖平仄〗，平仄平平仄仄。,0,16,16,32,"[2, 2, 6, 6, 6, 2, 2, 6]"
昭君怨,中仄中平中仄，中仄中平中仄。中仄仄平平，仄平平。中仄中平中仄，中仄中平中仄。中仄仄平平，仄平平。,14,12,14,40,"[6, 6, 5, 3, 6, 6, 5, 3]"
菩萨蛮,中平中仄平平仄，中平中仄平平仄。中仄仄平平，中平平仄平。中平平仄仄，中仄平平仄。中仄仄平平，中平平仄平。,10,20,14,44,"[7, 7, 5, 5, 5, 5, 5, 5]"
更漏子,仄平平，平仄仄。中仄中平中仄。中仄仄，仄平平，中平中仄平。平中仄，中平仄，中仄中平中仄。中中仄，仄平平，中平中仄平。,15,15,16,46,"[3, 3, 6, 3, 3, 5, 3, 3, 6, 3, 3, 5]"
喜迁莺,中仄仄，仄平平，平仄仄平平。仄平平仄仄平平，平仄仄平平。平中仄，平中仄，仄仄仄平平仄。中平平仄仄平平，平仄仄平平。,4,23,20,47,"[3, 3, 5, 7, 5, 3, 3, 6, 7, 5]"
清平乐,中平中仄，中仄平平仄。中仄中平平仄仄，中仄中平中仄。中平中仄平平，中平中仄平平。中仄中平中仄，中平中仄平平。,17,16,13,46,"[4, 5, 7, 6, 6, 6, 6, 6]"
忆馀杭,平仄平平，中仄平平平仄仄，平平仄仄仄平平，中仄仄平平。仄平平仄平平仄，仄仄仄平仄平仄。仄平平仄仄平平，仄仄仄平平。,2,24,23,49,"[4, 7, 7, 5, 7, 7, 7, 5]"
河渎神,平仄仄平平，平仄平平仄平。仄平仄仄仄平平，仄平平仄平平。仄仄平平平仄仄，平仄平平平仄。仄仄仄平平仄，仄平平仄平仄。,0,26,23,49,"[5, 6, 7, 6, 7, 6, 6, 6]"
河传,平仄，平仄。仄平平仄，平仄平平。仄平平仄，平仄仄仄平平，仄平平仄平。平平仄仄平平仄，平仄仄，仄仄平平仄。仄平平仄，平仄仄仄平平，仄平平。,0,29,26,55,"[2, 2, 4, 4, 4, 6, 5, 7, 3, 5, 4, 6, 3]"
虞美人,中平中仄平平仄，中仄平平仄。中平中仄仄平平，中仄中平平仄仄平平。中平中仄平平仄，中仄平平仄。中平中仄仄平平，中仄中平平仄仄平平。,14,24,18,56,"[7, 5, 7, 9, 7, 5, 7, 9]"
西江月,『中仄中平平仄，中平中仄平平』。中平中仄仄平平，中仄平平中仄。中仄中平平仄，中平中仄平平。中平中仄仄平平，中仄平平中仄。,16,20,14,50,"[6, 6, 7, 6, 6, 6, 7, 6]"
醉翁操,平平，平平，平平。仄平平，平平，平平仄平平平平。仄平平仄平平，平仄平。仄仄仄平平，仄仄平仄平仄平。仄平仄仄，平仄平平。仄平仄仄，平仄平平仄仄。平仄平平平平，仄仄平平平平，平平平仄平。平平平平平，仄仄仄平平，仄平平仄仄平平。,0,59,32,91,"[2, 2, 2, 3, 2, 7, 6, 3, 5, 7, 4, 4, 4, 6, 6, 6, 5, 5, 5, 7]"
渡江云,中平平仄仄，仄平仄仄，中仄仄平平。仄平平仄仄，仄仄平平，仄仄仄平平。平平仄仄，仄中中、中仄平平。平仄中、中平平仄，中仄仄平平。平平，平平中仄，仄仄平平，仄平平中仄。平仄中、平平中仄，中仄平平。平平仄仄平平仄，仄仄中、平仄平平。平仄仄，平平仄仄平平。,14,45,41,100,"[5, 4, 5, 5, 4, 5, 4, 3, 4, 3, 4, 5, 2, 4, 4, 5, 3, 4, 4, 7, 3, 4, 3, 6]"
曲玉管,仄仄平平，平平仄仄，平平仄仄平平仄。仄仄平平平仄，平仄平平，仄平平。仄仄平平，平平平仄，仄平仄仄平平仄。仄仄平平，仄仄平仄平平，仄平平。仄仄平平，仄平仄、平平平仄，仄平仄仄平平，平平仄仄平平。仄平平。仄平平平仄，仄仄平平平仄，仄平平仄，仄仄平平，仄仄平平。,0,58,47,105,"[4, 4, 7, 6, 4, 3, 4, 4, 7, 4, 6, 3, 4, 3, 4, 6, 6, 3, 5, 6, 4, 4, 4]"
哨遍,仄仄仄平，平仄仄平，仄仄平平仄。平仄平，平仄仄平平。仄平平平平平仄。仄仄平，平平仄平平仄，平平仄仄平平仄。平仄仄平平，平平仄仄，平平平仄平仄。仄仄平平仄仄平平。仄仄仄平平仄平平。平仄平平，仄仄平平，仄平仄仄。平，平仄平平，仄平平仄平平仄。平仄平仄仄，平平平仄平仄。仄仄仄平平，仄平仄仄，平平仄仄平平仄。平仄仄平平，平平仄仄，平平平仄平仄。仄仄平仄仄仄仄平。仄仄仄平平仄平平。仄平平、仄平平仄。平平平仄平仄，仄仄平平仄。仄平平仄平平仄仄，仄仄平平仄仄。仄平平仄仄平平。仄平平、仄仄平仄。,0,106,97,203,"[4, 4, 5, 3, 5, 7, 3, 6, 7, 5, 4, 6, 8, 8, 4, 4, 4, 1, 4, 7, 5, 6, 5, 4, 7, 5, 4, 6, 8, 8, 3, 4, 6, 5, 8, 6, 7, 3, 4]"
戚氏,仄平平，仄仄平仄仄平平。仄仄平平，仄平平仄，仄平平。平平，仄平平。平平仄仄仄平平。平平仄仄平仄，仄仄平仄仄平平。仄仄平仄，平平平仄，仄平仄仄平平。仄平平仄仄，平仄平仄，平仄平平。平仄，仄仄平平。平仄仄仄，仄仄仄平平。平平仄，仄平平仄，仄仄平平。仄平平。仄仄仄仄，平平仄仄，仄仄平平。仄平仄仄，仄仄平平，仄仄平仄平平。仄仄平平仄，平平仄仄，仄仄平平。仄仄平平仄仄，仄平平仄仄仄平平。仄平仄仄平平，仄平仄仄，平仄平平仄。仄仄平、平仄平平仄。平仄仄、平仄平平。仄仄平、仄仄平平。仄平仄仄仄仄平平。仄平平仄，平平仄仄，仄仄平平。,0,102,110,212,"[3, 7, 4, 4, 3, 2, 3, 7, 6, 7, 4, 4, 6, 5, 4, 4, 2, 4, 4, 5, 3, 4, 4, 3, 4, 4, 4, 4, 4, 6, 5, 4, 4, 6, 8, 6, 4, 5, 3, 5, 3, 4, 3, 4, 8, 4, 4, 4]"
荷叶杯,中仄中平平仄，平仄，仄平平。仄平平仄仄平仄，平仄，仄平平。,2,11,10,23,"[6, 2, 3, 7, 2, 3]"
定西番,中仄中平中仄，平仄仄，仄平平，仄平平。中仄中平平仄，中平中仄平。中仄中平中仄，仄平平。,10,13,12,35,"[6, 3, 3, 3, 6, 5, 6, 3]"
相见欢,中平中仄平平，仄平平。中仄中平平仄仄平平。中中仄，中平仄，仄平平。中仄中平平仄仄平平。,9,16,11,36,"[6, 3, 9, 3, 3, 3, 9]"
上行杯,仄仄平平平仄，平仄仄、仄仄平平。平仄平平平仄仄，平平仄仄。仄平平，平仄仄，仄仄，平仄，平仄平平。,0,19,19,38,"[6, 3, 4, 7, 4, 3, 3, 2, 2, 4]"
酒泉子,平仄仄平，平仄仄平平仄。仄平平，平仄仄，仄平平。仄平平仄仄平平，平仄仄平平仄。仄平平，平仄仄。仄平平。,0,22,19,41,"[4, 6, 3, 3, 3, 7, 6, 3, 3, 3]"
定风波,中仄平平仄仄平，中平中仄仄平平。中仄中平平仄仄，平仄，中平中仄仄平平。中仄中平平仄仄，平仄，中平中仄仄平平。中仄中平平仄仄，平仄，中平中仄仄平平。,15,24,23,62,"[7, 7, 7, 2, 7, 7, 2, 7, 7, 2, 7]"
最高楼,平平仄，平仄仄平平，中仄仄平平。中平中仄平平仄，中平中仄仄平平。仄平平，平仄仄，仄平平。仄仄仄、仄平平仄仄，仄仄仄、仄平平仄仄。平仄仄，仄平平。中平中仄平平仄，中平中仄仄平平。仄平平，平仄仄，仄平平。,9,36,36,81,"[3, 5, 5, 7, 7, 3, 3, 3, 3, 5, 3, 5, 3, 3, 7, 7, 3, 3, 3]"
